證券代碼,年月,每股盈餘,ROE(A)－稅後,ROA(A)稅後息前,負債比率,營業毛利率,營業利益率,稅前淨利率,稅後淨利率
2317 鴻海,201303,1.38,2.34,0.88,64.65,5.68,1.72,2.79,2.02
2321 東訊,201303,-0.16,-7.54,-0.83,83.33,8.39,-0.29,-2.64,-2.64
2323 中環,201303,-0.19,-1.63,-0.96,30.87,0.51,-12.97,-12.93,-12.99
2324 仁寶,201303,0.31,1.19,0.48,61.19,3.93,1.24,1.06,0.83
2327 國巨,201303,0.09,0.59,0.5,31.15,19.91,9.13,5.42,3.37
2328 廣宇,201303,0.11,0.66,0.48,36.06,12.46,4.06,3.73,2.61
2329 華泰,201303,-0.25,-2.79,-0.63,67.48,5.04,-5.27,-5.8,-8.57
2330 台積電,201303,1.53,5.3,3.95,27.6,45.77,33.47,34.46,29.78
2331 精英,201303,0.21,1.11,0.63,43.6,8.31,1.77,2.22,1.56
2332 友訊,201303,0.2,0.95,0.55,43.15,27.2,1.88,2.53,1.81
2337 旺宏,201303,-0.59,-6.14,-3.3,44.61,-4.21,-47.59,-47.32,-47.34
2338 光罩,201303,-0.04,-0.05,-0.03,12.27,11.95,-2.35,0.4,-0.47
2340 台亞,201303,0.17,1.33,0.89,39.16,18.89,5.04,7.7,6.15
2342 茂矽,201303,-0.55,-5.67,-3.17,41.52,-53.14,-73.97,-48.17,-50.1
2344 華邦電,201303,-0.1,-0.99,-0.49,38.44,16.27,-3.41,-3.92,-4.4
2345 智邦,201303,0.13,0.95,0.52,43.76,16.18,0.42,2.01,1.43
2347 聯強,201303,0.63,2.46,0.99,60.76,3.23,0.84,1.56,1.42
2348 海悅,201303,-0.16,-5.82,-4.54,12.91,0.55,-110.55,-109.34,-109.34
2349 錸德,201303,-0.26,-2.4,-1.38,35.03,-1.73,-16.43,-17.91,-18.61
2351 順德,201303,0.45,2.4,1.17,56.67,12.64,4.91,5.61,4.58
2352 佳世達,201303,-0.43,-3.73,-0.66,76.61,9.09,-0.53,-2.5,-2.8
2353 宏碁,201303,0.19,0.68,0.3,65.05,8.52,0.03,0.49,0.56
2354 鴻準,201303,1.73,3.37,2.15,29.36,14.16,8.46,10.04,9.49
2355 敬鵬,201303,1.12,3.38,2.16,36.88,16.63,10.12,12.42,9.71
2356 英業達,201303,0.5,2.8,0.93,68.92,4.91,1.37,2.3,1.59
2357 華碩,201303,8.04,4.59,2.28,48.66,13.21,4.71,6.34,5.31
2358 廷鑫,201303,-0.02,-0.17,-0.12,15.12,4.47,-0.26,-0.4,-0.4
2359 所羅門,201303,0.15,0.73,0.61,18.99,12.91,0.62,2.76,2.3
2360 致茂,201303,0.58,2.73,1.96,28.82,37.15,10.3,12.03,10.15
2362 藍天,201303,0.42,0.62,0.48,50.76,36.59,13.89,11,5.99
2363 矽統,201303,-0.24,-2.01,-1.92,3.32,23.1,-107.23,-129.99,-130.01
2364 倫飛,201303,-0.28,-4.83,-2.87,38.74,17.58,-41.49,-30.75,-30.81
2365 昆盈,201303,0.08,0.6,0.41,35.39,18.07,0.49,1.79,1.34
2367 燿華,201303,0,0.01,0.13,48.2,6.49,-4.62,0.06,0.02
2368 金像電,201303,-0.73,-5.99,-1.67,70.08,1.17,-9.08,-9.54,-10.61
2369 菱生,201303,0.16,0.94,0.74,23.51,13.03,4.37,5.02,4.22
2371 大同,201303,-0.35,-4.65,-1.1,70.44,5.44,-8.05,-10.85,-11.34
2373 震旦行,201303,0.94,4.48,2.77,36.85,45.45,7.67,13.69,12.4
2374 佳能,201303,0.23,0.74,0.42,40.76,8.09,1.53,1.49,1.06
2375 凱美,201303,0.15,1.8,1.02,46,16.06,2.65,6.97,6.94
2376 技嘉,201303,0.97,2.93,1.94,34.49,18.31,3.72,5.47,4.9
2377 微星,201303,0.5,1.96,1.14,41.93,12.39,2.71,3.59,2.65
2379 瑞昱,201303,1.45,4.01,2.69,33.68,44.86,10,12.09,10.83
2380 虹光,201303,-0.43,-2.57,-1.97,20.65,21.63,-19.94,-18.4,-15.47
2382 廣達,201303,1.16,3.55,0.93,74.66,4.05,1.31,3.04,2.35
2383 台光電,201303,0.61,2.91,1.44,51.94,15.15,5.56,5.39,4.56
2385 群光,201303,1.49,5,2.19,54.96,14.99,5.54,7.31,5.77
2387 精元,201303,0.38,1.86,1.14,38.73,15.15,7.14,6.23,5
2388 威盛,201303,-2.53,-30.8,-13.71,60.43,32.66,-98.4,-126.04,-127.76
2390 云辰,201303,0.16,1.36,1.06,27.18,22.62,-25.21,20.9,18.11
2392 正崴,201303,1.13,2.37,1.04,56.83,10.25,1.86,2.85,2.27
2393 億光,201303,0.53,1.48,0.85,47.87,22.49,6.7,6.25,4.46
2395 研華,201303,1.52,4.72,3.48,26.63,41.72,14.56,16.1,13.08
2397 友通,201303,0.5,2.03,1.73,15.61,31.01,9.11,14.56,11.9
2399 映泰,201303,0.32,2.19,1.48,32.56,10.53,2.35,5.83,4.88
2401 凌陽,201303,-0.07,-0.46,-0.27,29.17,39.64,-4.94,-2.27,-2.67
2402 毅嘉,201303,0.06,0.31,0.23,37.2,11.45,0.21,1.08,1.06
2404 漢唐,201303,0.89,4.56,1.87,60.03,11.52,7.54,8.54,6.97
2405 輔信,201303,0.07,0.61,0.35,45.84,11.37,1.03,0.75,0.77
